,imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
354,tt0203019,0.0,/laNHiehbOHYM3y9FVFfqmLuX8X5.jpg,,32000000.0,"[{'id': 18, 'name': 'Drama'}]",,11978.0,en,Men of Honor,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",39.183,/wNUAnXV1mzOOfvnVBIYsalkk078.jpg,"[{'id': 711, 'logo_path': '/tEiIH5QesdheJmDAqQwvtN60727.png', 'name': 'Fox 2000 Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-13,82343495.0,129.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,History is made by those who break the rules.,Men of Honor,0.0,7.432,1915.0,R
357,tt0203119,0.0,/czuOy8Mk7ihfymoiYX0CN4U1A8I.jpg,,5000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",,11826.0,en,Sexy Beast,"Ex-safecracker Gal Dove has served his time behind bars and is blissfully retired to a Spanish villa paradise with a wife he adores. The idyll is shattered by the arrival of his nemesis Don Logan, intent on persuading Gal to return to London for one last big job.",12.8,/9OlmWIEuSec27HiOPuMJASnff6f.jpg,"[{'id': 43, 'logo_path': '/4RgIPr55kBakgupWkzdDxqXJEqr.png', 'name': 'Fox Searchlight Pictures', 'origin_country': 'US'}, {'id': 4169, 'logo_path': None, 'name': 'Kanzaman Productions', 'origin_country': 'ES'}, {'id': 6705, 'logo_path': '/e8EXNSfwr5E9d3TR8dHKbQnQK4W.png', 'name': 'Film4 Productions', 'origin_country': 'GB'}, {'id': 11561, 'logo_path': '/8HB3TFUeo83keAPHfFfrNtN2MmA.png', 'name': 'Recorded Picture Company', 'origin_country': 'GB'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-13,0.0,89.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Yes or yes?,Sexy Beast,0.0,6.974,608.0,R
361,tt0203540,0.0,/aHSBLLzeNu9HxTNGMuaMNrgjfY3.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",,33379.0,en,Greenfingers,"Clive Owen stars as a prison inmate who goes into an experimental ""open"" prison where the inmates walk around freely and get job training for their impending releases. While there, he discovers he has a talent for growing flowers. His talent is recognized by a gardening guru who encourages him and four other inmates to enter a national gardening competition",6.833,/aVHGh97vgV6R2sOkoTFiDNZXnS9.jpg,"[{'id': 21, 'logo_path': '/aOWKh4gkNrfFZ3Ep7n0ckPhoGb5.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 3318, 'logo_path': None, 'name': 'Xingu Films', 'origin_country': ''}, {'id': 3857, 'logo_path': None, 'name': 'Fireworks Pictures', 'origin_country': 'CA'}, {'id': 40892, 'logo_path': None, 'name': 'Boneyard Entertainment China', 'origin_country': ''}, {'id': 68063, 'logo_path': None, 'name': 'Winchester Films', 'origin_country': ''}, {'id': 135028, 'logo_path': None, 'name': 'Travis Swords Productions', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-10-01,1443067.0,91.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A Blooming Comedy...Based on a True Story,Greenfingers,0.0,6.4,51.0,R
367,tt0204137,0.0,/obIgewLH1N2UwpUw7PadCQhe8eO.jpg,,3600000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,9791.0,en,Animal Factory,"Suburbanite Ron is spoiled, young and not overly worried about the marijuana charges leveled against him. But, after being made out to be a drug dealer, he faces a five-year jail sentence in San Quentin State Prison. Physically frail and unaccustomed to his rough surroundings, Ron is primed to fall victim to sexual predators and bullying guards – that is, until he's befriended by Earl, a veteran inmate who finds meaning in protecting the vulnerable new kid.",7.399,/1B16OQmIZV5J3zKOxJbLwZtvx9x.jpg,"[{'id': 376, 'logo_path': None, 'name': 'Industry Entertainment', 'origin_country': ''}, {'id': 954, 'logo_path': None, 'name': 'Phoenician Entertainment', 'origin_country': ''}, {'id': 1403, 'logo_path': None, 'name': 'Franchise Pictures', 'origin_country': 'US'}, {'id': 131039, 'logo_path': None, 'name': 'Animal Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-08-01,43805.0,94.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,On the inside the rules are brutal and the stakes are high.,Animal Factory,0.0,6.333,181.0,
368,tt0204175,0.0,/kxTDRp8pfhZcIpeihfPWUB9jRDZ.jpg,,16000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,10571.0,en,Boys and Girls,"Ryan and Jennifer are opposites who definitely do not attract. At least that's what they always believed. When they met as twelve-year-olds, they disliked one another. When they met again as teenagers, they loathed each other. But when they meet in college, the uptight Ryan and the free-spirited Jennifer find that their differences bind them together and a rare friendship develops.",12.564,/9zmvYVgcdoXPZQE44gN7nKHScD4.jpg,"[{'id': 7405, 'logo_path': '/rfnws0uY8rsNAsrLbx3gEIcYXx3.png', 'name': 'Dimension Films', 'origin_country': 'US'}, {'id': 13158, 'logo_path': None, 'name': 'Punch 21 Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-06-16,20627372.0,94.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Warning: Sex Changes Everything,Boys and Girls,0.0,5.959,350.0,PG-13
369,tt0204350,0.0,,,1200000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",,44895.0,en,Poor White Trash,Mike and Lenny are two buddies who dream of getting out of the trailer park. Out of desperation they resort to burglary as a means of financing Mike's college education. Their dream is jeopardized one summer day when their ploy to shoplift Near Beer begins a crime spree and a series of mishaps during which they are threatened with jail.,2.319,/7Z7INNk3XqkjmVZGN7JgnyhAXJ9.jpg,"[{'id': 36242, 'logo_path': None, 'name': 'Kingsize Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-06-16,1404.0,85.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Crime pays... just not enough,Poor White Trash,0.0,4.2,12.0,R
371,tt0204626,0.0,/c3KyX7aoEWkyroJXzpexXCyR2T8.jpg,,33000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",,10685.0,en,The Watcher,"FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die.",10.845,/z4PjLZa3Eizu6bNFAatmk88yrG4.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 2016, 'logo_path': None, 'name': 'Interlight', 'origin_country': ''}, {'id': 143567, 'logo_path': None, 'name': 'Lewitt / Eberts Productions', 'origin_country': ''}, {'id': 143568, 'logo_path': None, 'name': 'Choi / Niami Productions', 'origin_country': ''}, {'id': 143569, 'logo_path': None, 'name': 'Driven Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-08,0.0,96.0,"[{'english_name': 'Vietnamese', 'iso_639_1': 'vi', 'name': 'Tiếng Việt'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Don't go home alone.,The Watcher,0.0,5.0,416.0,R
372,tt0204640,0.0,/nKaukOFxzZrysMCjLgyt0K0Nu3b.jpg,"{'id': 1073118, 'name': 'Sordid Lives Collection', 'poster_path': None, 'backdrop_path': None}",0.0,"[{'id': 35, 'name': 'Comedy'}]",http://www.sordidlives-themovie.com/,19094.0,en,Sordid Lives,"""Sordid Lives"" is about a family in a small Texas town preparing for the funeral of the mother. Among the characters are the grandson trying to find his identity in West Hollywood, the son who has spent the past twenty-three years dressed as Tammy Wynette, the sister and her best friend (who live in delightfully kitschy homes), and the two daughters (one strait-laced and one quite a bit of a loser).",3.338,/ye41wOhpEeRjBiFV74BHrrCbwa8.jpg,"[{'id': 7069, 'logo_path': None, 'name': 'Daly-Harris Productions', 'origin_country': ''}, {'id': 7070, 'logo_path': None, 'name': 'Davis Entertainment Classics', 'origin_country': ''}, {'id': 7071, 'logo_path': None, 'name': 'Sordid Lives LLC', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-05-25,1079726.0,111.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A black comedy about white trash.,Sordid Lives,0.0,6.6,38.0,
377,tt0204946,0.0,/chQ7r8gGkzBSSuqcGffUIokEIpd.jpg,"{'id': 430186, 'name': 'Bring It On Collection', 'poster_path': '/7aTnDp8CGIsXwz1W1sdP9C6qDFQ.jpg', 'backdrop_path': '/ypR7RZO9hIAyd3lIx07gJ0AVvbB.jpg'}",28000000.0,"[{'id': 35, 'name': 'Comedy'}]",https://www.uphe.com/movies/bring-it-on,1588.0,en,Bring It On,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen.",19.335,/eTqBR0gpts9u0XCCv8shARdm8qr.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 919, 'logo_path': None, 'name': 'Beacon Communications', 'origin_country': ''}, {'id': 5892, 'logo_path': '/AlfRSqTMw9RIHR2RIzy4pkcaXnY.png', 'name': 'Buena Vista International', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-08-25,90449929.0,98.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,May the best moves win.,Bring It On,0.0,6.23,1487.0,PG-13
379,tt0205271,0.0,/zf2eFbIgNvg4qRa8bUsHkw2JkSE.jpg,,23000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,10763.0,en,Dr. T & the Women,"A successful Texas gynecologist finds himself amid a bevy of women and their problems – his wife’s breakdown, his daughter's fake marriage, his other daughter’s conspiracy theories, and his secretary’s crush. Craving time for himself, he finds solace in a kind outsider.",11.906,/rmvpXbJlqztcLr6FkbVQFkWxOAr.jpg,"[{'id': 2188, 'logo_path': None, 'name': 'Artisan Entertainment', 'origin_country': 'US'}, {'id': 11487, 'logo_path': None, 'name': 'Sandcastle 5', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-13,22844291.0,121.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,He is overwhelmed by the woman in his life,Dr. T & the Women,0.0,4.875,281.0,R
